"population","pop2024","pop2023","city","country","growthRate","type","rank"
3458440,3458440,3422800,"Campinas","Brazil",0.0104,"w",141
3415530,3415530,3367850,"Mashhad","Iran",0.0142,"w",142
3407810,3407810,3292500,"Sanaa","Yemen",0.035,"w",143
3394340,3394340,3344760,"Puebla","Mexico",0.0148,"w",144
3393380,3393380,3302080,"Indore","India",0.0276,"w",145
3365910,3365910,3297530,"Lanzhou","China",0.0207,"w",146
3358930,3358930,3203920,"Ouagadougou","Burkina Faso",0.0484,"w",147
3353600,3353600,3297760,"Kuwait City","Kuwait",0.0169,"w",148
3324220,3324220,3181250,"Lusaka","Zambia",0.0449,"w",149
3286140,3286140,3234160,"Kanpur","India",0.0161,"w",150
3262130,3262130,3228000,"Durban","South Africa",0.0106,"w",151
3193270,3193270,3142470,"Guayaquil","Ecuador",0.0162,"w",152
3183140,3183140,3157540,"Pyongyang","North Korea",0.0081,"w",153
3160630,3160630,3154570,"Milan","Italy",0.0019,"w",154
3159630,3159630,3095100,"Guatemala City","Guatemala",0.0208,"w",155
3154590,3154590,3154460,"Athens","Greece",0,"w",156
3133300,3133300,3041230,"Depok","Indonesia",0.0303,"w",157
3120340,3120340,3088410,"Izmir","Turkey",0.0103,"w",158
3106340,3106340,3046690,"Nagpur","India",0.0196,"w",159
3088750,3088750,3044410,"Surabaya","Indonesia",0.0146,"w",160
3086000,3086000,3005410,"Handan","China",0.0268,"w",161
3083720,3083720,3009050,"Coimbatore","India",0.0248,"w",162
3071050,3071050,2979890,"Huaian","China",0.0306,"w",163
3060170,3060170,2987460,"Port-au-Prince","Haiti",0.0243,"w",164
3051060,3051060,3010680,"Zhongshan","China",0.0134,"w",165
3051020,3051020,3007580,"Dubai","United Arab Emirates",0.0144,"w",166
3050570,3050570,2929370,"Bamako","Mali",0.0414,"w",167
3022860,3022860,2891750,"Mbuji-Mayi","DR Congo",0.0453,"w",168
3020230,3020230,3016790,"Kiev","Ukraine",0.0011,"w",169
3014610,3014610,3000540,"Lisbon","Portugal",0.0047,"w",170
2994540,2994540,2917820,"Weifang","China",0.0263,"w",171
2991730,2991730,2972140,"Caracas","Venezuela",0.0066,"w",172
2984150,2984150,2891120,"Thiruvananthapuram","India",0.0322,"w",173
2952120,2952120,2901810,"Algiers","Algeria",0.0173,"w",174
2935530,2935530,2937360,"Shizuoka","Japan",-0.0006,"w",175
2933960,2933960,2811960,"Lubumbashi","DR Congo",0.0434,"w",176
2890430,2890430,2863730,"Cali","Colombia",0.0093,"w",177
2890420,2890420,2848470,"Goiania","Brazil",0.0147,"w",178
2889900,2889900,2818100,"Pretoria","South Africa",0.0255,"w",179
2882170,2882170,2805650,"Shaoxing","China",0.0273,"w",180
2861690,2861690,2848560,"Incheon","South Korea",0.0046,"w",181
2834510,2834510,2764580,"Yantai","China",0.0253,"w",182
2828440,2828440,2780140,"Zibo","China",0.0174,"w",183
2827610,2827610,2758590,"Huizhou","China",0.025,"w",184
2811760,2811760,2791000,"Manchester","United Kingdom",0.0074,"w",185
2766330,2766330,2754200,"Taipei","Taiwan",0.0044,"w",186
2726820,2726820,2610480,"Mogadishu","Somalia",0.0446,"w",187
2724570,2724570,2637730,"Brazzaville","Republic of the Congo",0.0329,"w",188
2721160,2721160,2660070,"Accra","Ghana",0.023,"w",189
2714220,2714220,2674000,"Bandung","Indonesia",0.015,"w",190
2685360,2685360,2584770,"Damascus","Syria",0.0389,"w",191
2684810,2684810,2665100,"Birmingham","United Kingdom",0.0074,"w",192
2682510,2682510,2657090,"Vancouver","Canada",0.0096,"w",193
2674340,2674340,2626370,"Toluca de Lerdo","Mexico",0.0183,"w",194
2666740,2666740,2602790,"Luoyang","China",0.0246,"w",195
2660950,2660950,2666110,"Sapporo","Japan",-0.0019,"w",196
2638159,2638159,2664452,"Chicago","United States",-0.0099,"us",197
2633660,2633660,2603240,"Tashkent","Uzbekistan",0.0117,"w",198
2633240,2633240,2579760,"Patna","India",0.0207,"w",199
2624860,2624860,2564500,"Bhopal","India",0.0235,"w",200
2570980,2570980,2514080,"Tangerang","Indonesia",0.0226,"w",201
2555720,2555720,2492230,"Nantong","China",0.0255,"w",202
2536450,2536450,2504500,"Brisbane","Australia",0.0128,"w",203
2510670,2510670,2475450,"Tunis","Tunisia",0.0142,"w",204
2480550,2480550,2411780,"Peshawar","Pakistan",0.0285,"w",205
2479070,2479070,2439050,"Medan","Indonesia",0.0164,"w",206
2479060,2479060,2415420,"Gujranwala","Pakistan",0.0263,"w",207
2464160,2464160,2432300,"Baku","Azerbaijan",0.0131,"w",208
2443690,2443690,2380640,"Hohhot","China",0.0265,"w",209
2436620,2436620,2439560,"San Juan","Puerto Rico",-0.0012,"w",210
2432180,2432180,2409410,"Belem","Brazil",0.0095,"w",211
2430390,2430390,2377320,"Rawalpindi","Pakistan",0.0223,"w",212
2422340,2422340,2367550,"Agra","India",0.0231,"w",213
2406850,2406850,2375640,"Manaus","Brazil",0.0131,"w",214
2405660,2405660,2346140,"Kannur","India",0.0254,"w",215
2402480,2402480,2421350,"Beirut","Lebanon",-0.0078,"w",216
2400830,2400830,2367630,"Maracaibo","Venezuela",0.014,"w",217
2397410,2397410,2343450,"Liuzhou","China",0.023,"w",218
2385110,2385110,2330930,"Visakhapatnam","India",0.0232,"w",219
2381240,2381240,2334880,"Baotou","China",0.0199,"w",220
2373360,2373360,2324080,"Vadodara","India",0.0212,"w",221
2373300,2373300,2349400,"Barranquilla","Colombia",0.0102,"w",222
2352680,2352680,2281200,"Phnom Penh","Cambodia",0.0313,"w",223
2341430,2341430,2342300,"Sendai","Japan",-0.0004,"w",224
2338720,2338720,2318850,"Taoyuan","Taiwan",0.0086,"w",225
2332530,2332530,2287170,"Xuzhou","China",0.0198,"w",226
2319119,2319119,2314157,"Houston","United States",0.0021,"us",227
2317650,2317650,2203020,"Aleppo","Syria",0.052,"w",228
2297220,2297220,2259790,"Tijuana","Mexico",0.0166,"w",229
2294590,2294590,2258400,"Esfahan","Iran",0.016,"w",230
2294300,2294300,2237370,"Nashik","India",0.0254,"w",231
2290780,2290780,2229760,"Vijayawada","India",0.0274,"w",232
2252690,2252690,2232240,"Amman","Jordan",0.0092,"w",233
2250100,2250100,2176020,"Putian","China",0.034,"w",234
2205410,2205410,2154600,"Multan","Pakistan",0.0236,"w",235
2196820,2196820,2170510,"Grande Vitoria","Brazil",0.0121,"w",236
2195260,2195260,2124800,"Wuhu Anhui","China",0.0332,"w",237
2184560,2184560,2149930,"Mecca","Saudi Arabia",0.0161,"w",238
2181940,2181940,2106610,"Kollam","India",0.0358,"w",239
2180030,2180030,2179380,"Naples","Italy",0.0003,"w",240
2179930,2179930,2181000,"Daegu","South Korea",-0.0005,"w",241
2178600,2178600,2110940,"Conakry","Guinea",0.0321,"w",242
2175100,2175100,2131290,"Yangzhou","China",0.0206,"w",243
2152520,2152520,2148930,"Havana","Cuba",0.0017,"w",244
2152230,2152230,2102140,"Taizhou Zhejiang","China",0.0238,"w",245
2149700,2149700,2107540,"Baoding","China",0.02,"w",246
2143490,2143490,2118000,"Perth","Australia",0.012,"w",247
2132180,2132180,2121990,"Brussels","Belgium",0.0048,"w",248
2120050,2120050,2076360,"Linyi Shandong","China",0.021,"w",249
2115510,2115510,2086320,"Bursa","Turkey",0.014,"w",250
2096980,2096980,2043110,"Rajkot","India",0.0264,"w",251
2064730,2064730,2057260,"Minsk","Belarus",0.0036,"w",252
2062880,2062880,2067590,"Hiroshima","Japan",-0.0023,"w",253
2056650,2056650,2016090,"Haikou","China",0.0201,"w",254
2044370,2044370,2000660,"Daqing","China",0.0218,"w",255
2042730,2042730,1981620,"Lome","Togo",0.0308,"w",256
2035630,2035630,1986440,"Lianyungang","China",0.0248,"w",257
2034330,2034330,1993460,"Yancheng Jiangsu","China",0.0205,"w",258
2015740,2015740,1976870,"Panama City","Panama",0.0197,"w",259
2015210,2015210,1987300,"Almaty","Kazakhstan",0.014,"w",260
2013570,2013570,1975310,"Semarang","Indonesia",0.0194,"w",261
2011960,2011960,1967680,"Hyderabad","Pakistan",0.0225,"w",262
2007260,2007260,1983440,"Valencia","Venezuela",0.012,"w",263
1991460,1991460,1949400,"Davao City","Philippines",0.0216,"w",264
1990490,1990490,1975270,"Vienna","Austria",0.0077,"w",265
1989200,1989200,1959390,"Rabat","Morocco",0.0152,"w",266
1988440,1988440,1951080,"Ludhiana","India",0.0191,"w",267
1986670,1986670,1957000,"Quito","Ecuador",0.0152,"w",268
1972560,1972560,1904630,"Benin City","Nigeria",0.0357,"w",269
1965570,1965570,1935620,"La Paz","Bolivia",0.0155,"w",270
1965110,1965110,1947780,"Baixada Santista","Brazil",0.0089,"w",271
1942470,1942470,1928660,"West Yorkshire","United Kingdom",0.0072,"w",272
1938920,1938920,1865170,"Can Tho","Vietnam",0.0395,"w",273
1930370,1930370,1889830,"Zhuhai","China",0.0215,"w",274
1924440,1924440,1898750,"Leon de los Aldamas","Mexico",0.0135,"w",275
1920730,1920730,1869990,"Quanzhou","China",0.0271,"w",276
1915040,1915040,1852400,"Matola","Mozambique",0.0338,"w",277
1913670,1913670,1873690,"Datong","China",0.0213,"w",278
1872200,1872200,1830860,"Sharjah","United Arab Emirates",0.0226,"w",279
1871910,1871910,1834280,"Madurai","India",0.0205,"w",280
1871110,1871110,1816810,"Raipur","India",0.0299,"w",281
1856640,1856640,1835900,"Adana","Turkey",0.0113,"w",282
1855730,1855730,1820110,"Santa Cruz","Bolivia",0.0196,"w",283
1852670,1852670,1818420,"Palembang","Indonesia",0.0188,"w",284
1847690,1847690,1792020,"Mosul","Iraq",0.0311,"w",285
1840040,1840040,1788870,"Cixi","China",0.0286,"w",286
1835400,1835400,1797800,"Meerut","India",0.0209,"w",287
1833010,1833010,1804700,"Gaziantep","Turkey",0.0157,"w",288
1826140,1826140,1780590,"La Laguna","Mexico",0.0256,"w",289
1806150,1806150,1748140,"Batam","Indonesia",0.0332,"w",290
1805730,1805730,1801940,"Turin","Italy",0.0021,"w",291
1799450,1799450,1797520,"Warsaw","Poland",0.0011,"w",292
1797470,1797470,1768510,"Jiangmen","China",0.0164,"w",293
1789050,1789050,1754420,"Varanasi","India",0.0197,"w",294
1787280,1787280,1787520,"Hamburg","Germany",-0.0001,"w",295
1781360,1781360,1774400,"Montevideo","Uruguay",0.0039,"w",296
1780390,1780390,1778050,"Budapest","Hungary",0.0013,"w",297
1774400,1774400,1761190,"Lyon","France",0.0075,"w",298
1772320,1772320,1742710,"Xiangyang","China",0.017,"w",299
1767520,1767520,1776380,"Bucharest","Romania",-0.005,"w",300
1758100,1758100,1711240,"Yichang","China",0.0274,"w",301
1757700,1757700,1716590,"Yinchuan","China",0.0239,"w",302
1742750,1742750,1720950,"Shiraz","Iran",0.0127,"w",303
1738720,1738720,1664440,"Kananga","DR Congo",0.0446,"w",304
1737500,1737500,1698280,"Srinagar","India",0.0231,"w",305
1735360,1735360,1678020,"Monrovia","Liberia",0.0342,"w",306
1731860,1731860,1677170,"Tiruppur","India",0.0326,"w",307
1730520,1730520,1695060,"Jamshedpur","India",0.0209,"w",308
1726330,1726330,1664970,"Suqian","China",0.0369,"w",309
1725280,1725280,1683390,"Aurangabad","India",0.0249,"w",310
1723730,1723730,1680960,"Qinhuangdao","China",0.0254,"w",311
1719600,1719600,1700070,"Stockholm","Sweden",0.0115,"w",312
1713450,1713450,1689500,"Anshan","China",0.0142,"w",313
1708150,1708150,1698090,"Glasgow","United Kingdom",0.0059,"w",314
1705080,1705080,1666600,"Xining","China",0.0231,"w",315
1704930,1704930,1673090,"Makassar","Indonesia",0.019,"w",316
1702010,1702010,1661850,"Hengyang","China",0.0242,"w",317
1701510,1701510,1694760,"Novosibirsk","Russia",0.004,"w",318
1699360,1699360,1672630,"Ulaanbaatar","Mongolia",0.016,"w",319
1694910,1694910,1623380,"Onitsha","Nigeria",0.0441,"w",320
1693700,1693700,1668780,"Jilin","China",0.0149,"w",321
1693380,1693380,1642350,"Anyang","China",0.0311,"w",322
1692770,1692770,1673220,"Auckland","New Zealand",0.0117,"w",323
1678030,1678030,1660740,"Tabriz","Iran",0.0104,"w",324
1676170,1676170,1650320,"Muscat","Oman",0.0157,"w",325
1665020,1665020,1639610,"Calgary","Canada",0.0155,"w",326
1662607,1662607,1650070,"Phoenix","United States",0.0076,"us",327
1662410,1662410,1635460,"Qiqihaer","China",0.0165,"w",328
1655620,1655620,1592320,"N-Djamena","Chad",0.0398,"w",329
1635710,1635710,1627550,"Marseille","France",0.005,"w",330
1625940,1625940,1611650,"Cordoba","Argentina",0.0089,"w",331
1625320,1625320,1586550,"Jodhpur","India",0.0244,"w",332
1621640,1621640,1571010,"Kathmandu","Nepal",0.0322,"w",333
1613040,1613040,1594100,"Rosario","Argentina",0.0119,"w",334
1609260,1609260,1568020,"Tegucigalpa","Honduras",0.0263,"w",335
1604080,1604080,1582310,"Ciudad Juarez","Mexico",0.0138,"w",336
1603200,1603200,1578130,"Harare","Zimbabwe",0.0159,"w",337
1603010,1603010,1593610,"Karaj","Iran",0.0059,"w",338
1598980,1598980,1572570,"Medina","Saudi Arabia",0.0168,"w",339
1595960,1595960,1569560,"Jining Shandong","China",0.0168,"w",340
1593280,1593280,1567000,"Abu Dhabi","United Arab Emirates",0.0168,"w",341
1584510,1584510,1576420,"Munich","Germany",0.0051,"w",342
1584240,1584240,1547260,"Ranchi","India",0.0239,"w",343
1581700,1581700,1577440,"Daejon","South Korea",0.0027,"w",344
1568120,1568120,1536170,"Zhangjiakou","China",0.0208,"w",345
1567620,1567620,1544450,"Edmonton","Canada",0.015,"w",346
1563020,1563020,1531860,"Mandalay","Myanmar",0.0203,"w",347
1559080,1559080,1552900,"Gaoxiong","Taiwan",0.004,"w",348
1558470,1558470,1516800,"Kota","India",0.0275,"w",349
1556410,1556410,1535320,"Natal","Brazil",0.0137,"w",350
1552150,1552150,1491960,"Nouakchott","Mauritania",0.0403,"w",351
1551000,1551000,1522120,"Jabalpur","India",0.019,"w",352
1538600,1538600,1512670,"Huainan","China",0.0171,"w",353
1536020,1536020,1523630,"Grande Sao Luis","Brazil",0.0081,"w",354
1534080,1534080,1505030,"Asansol","India",0.0193,"w",355
1533828,1533828,1550542,"Philadelphia","United States",-0.0108,"us",356
1532970,1532970,1527730,"Yekaterinburg","Russia",0.0034,"w",357
1532900,1532900,1529470,"Gwangju","South Korea",0.0022,"w",358
1525750,1525750,1483320,"Yiwu","China",0.0286,"w",359
1520630,1520630,1496300,"Chaozhou","China",0.0163,"w",360
1513974,1513974,1495295,"San Antonio","United States",0.0125,"us",361
1508850,1508850,1475020,"Gwalior","India",0.0229,"w",362
1508040,1508040,1459680,"Ganzhou","China",0.0331,"w",363
1499600,1499600,1443430,"Homs","Syria",0.0389,"w",364
1496260,1496260,1437230,"Niamey","Niger",0.0411,"w",365
1495220,1495220,1440400,"Mombasa","Kenya",0.0381,"w",366
1493350,1493350,1465150,"Allahabad","India",0.0192,"w",367
1485160,1485160,1448120,"Basra","Iraq",0.0256,"w",368
1483510,1483510,1423400,"Kisangani","DR Congo",0.0422,"w",369
1482460,1482460,1461990,"San Jose","Costa Rica",0.014,"w",370
1480470,1480470,1451750,"Amritsar","India",0.0198,"w",371
1477600,1477600,1446810,"Taizhou Jiangsu","China",0.0213,"w",372
1472710,1472710,1454220,"Chon Buri","Thailand",0.0127,"w",373
1470920,1470920,1424980,"Jiaxing","China",0.0322,"w",374
1465930,1465930,1429320,"Weihai","China",0.0256,"w",375
1463650,1463650,1422970,"Hai Phong","Vietnam",0.0286,"w",376
1451570,1451570,1437190,"Ottawa","Canada",0.01,"w",377
1443350,1443350,1431540,"Zurich","Switzerland",0.0082,"w",378
1441910,1441910,1416060,"Taian Shandong","China",0.0183,"w",379
1436820,1436820,1413470,"Queretaro","Mexico",0.0165,"w",380
1435120,1435120,1421830,"Joao Pessoa","Brazil",0.0093,"w",381
1434460,1434460,1398260,"Kaifeng","China",0.0259,"w",382
1430690,1430690,1400250,"Cochabamba","Bolivia",0.0217,"w",383
1429940,1429940,1407630,"Konya","Turkey",0.0158,"w",384
1428800,1428800,1373520,"Liuyang","China",0.0402,"w",385
1427890,1427890,1378080,"Liuan","China",0.0361,"w",386
1426580,1426580,1391260,"Rizhao","China",0.0254,"w",387
1418980,1418980,1421050,"Kharkiv","Ukraine",-0.0015,"w",388
1414530,1414530,1389780,"Dhanbad","India",0.0178,"w",389
1412710,1412710,1377570,"Nanchong","China",0.0255,"w",390
1410790,1410790,1379380,"Dongying","China",0.0228,"w",391
1410700,1410700,1408140,"Belgrade","Serbia",0.0018,"w",392
1406090,1406090,1376450,"Zunyi","China",0.0215,"w",393
1399310,1399310,1372000,"Zhanjiang","China",0.0199,"w",394
1396630,1396630,1381500,"Bucaramanga","Colombia",0.011,"w",395
1393450,1393450,1329280,"Uyo","Nigeria",0.0483,"w",396
1391200,1391200,1381000,"Copenhagen","Denmark",0.0074,"w",397
1388996,1388996,1388320,"San Diego","United States",0.0005,"us",398
1387380,1387380,1354020,"Shiyan","China",0.0246,"w",399
1381860,1381860,1369070,"Taizhong","Taiwan",0.0093,"w",400
1380720,1380720,1348660,"Bareilly","India",0.0238,"w",401
1379370,1379370,1336390,"Pointe-Noire","Republic of the Congo",0.0322,"w",402
1379280,1379280,1366780,"Adelaide","Australia",0.0091,"w",403
1378230,1378230,1365350,"Suweon","South Korea",0.0094,"w",404
1378010,1378010,1310750,"Mwanza","Tanzania",0.0513,"w",405
1376450,1376450,1351380,"Mianyang Sichuan","China",0.0186,"w",406
1376150,1376150,1358870,"Samut Prakan","Thailand",0.0127,"w",407
1375980,1375980,1363510,"Maceio","Brazil",0.0091,"w",408
1373800,1373800,1354170,"Qom","Iran",0.0145,"w",409
1372400,1372400,1347240,"Antalya","Turkey",0.0187,"w",410
1361990,1361990,1348520,"Joinville","Brazil",0.01,"w",411
1360780,1360780,1322920,"Tengzhou","China",0.0286,"w",412
1355560,1355560,1323170,"Yingkou","China",0.0245,"w",413
1352910,1352910,1329290,"Ad-Dammam","Saudi Arabia",0.0178,"w",414
1349990,1349990,1310430,"Suzhou","China",0.0302,"w",415
1348850,1348850,1314180,"Tanger","Morocco",0.0264,"w",416
1347560,1347560,1309170,"Freetown","Sierra Leone",0.0293,"w",417
1346810,1346810,1337790,"Helsinki","Finland",0.0067,"w",418
1346020,1346020,1312370,"Aligarh","India",0.0256,"w",419
1335970,1335970,1301740,"Moradabad","India",0.0263,"w",420
1334530,1334530,1303360,"Pekan Baru","Indonesia",0.0239,"w",421
